	query	user name	text	url	hashtags	favorites	retweets
0	Why does trump not wear a mask?	shipboss	Trump doing ! 	https://t.co/132mcUaNCw	No hashtags	0	0
1	Why does trump not wear a mask?	mai	Trump 	https://t.co/0gEnwPUfgU	No hashtags	1	0
2	Why does trump not wear a mask?	OldManBeaston	TRUMP! 	https://t.co/fqaNocjvKx	No hashtags	0	0
3	Why does trump not wear a mask?	Vivian h	Trump🇺🇸🇺🇸🇺🇸 	https://t.co/3VyToQVVGn	No hashtags	0	0
4	Why does trump not wear a mask?	Gypsy	Trump won again, again 	https://t.co/ftchu41gDd	No hashtags	0	0
5	Why does trump not wear a mask?	Anne Aldrich	Trump is #KidVicious 	https://t.co/whPjhthYQQ	['#KidVicious']	0	0
6	Why does trump not wear a mask?	Mister_Bill Resists🌊🌊	Trump filth.👎👎 	https://t.co/uR4FIba9Ny	No hashtags	0	1
7	Why does trump not wear a mask?	joe biden’s mouth crust	this insufferable prick is why trump won 	https://t.co/mXqTBP5jtz	No hashtags	1	0
8	Why does trump not wear a mask?	Lola	@realDonaldTrump @WhiteHouse Trump is a sociopath 	https://t.co/FEVC9S7yih	No hashtags	2	0
9	Why does trump not wear a mask?	President Elect - Al Santillan	I do. Then Trump trapped them for it. 	https://t.co/96o4SzNgrw	No hashtags	0	0
10	Why does trump not wear a mask?	David Taintor	Where's Trump?  via @zarichards	https://t.co/GneL8gKUqX	No hashtags	1	0
11	Why does trump not wear a mask?	Loretta Kunz	And the enemy is Trump and Trump’s sycophants. 	https://t.co/PpR99tq3em	No hashtags	0	0
12	Why does trump not wear a mask?	Ana Rosa	Trump legacy! 	https://t.co/FL2zHBu5Eq	No hashtags	0	0
13	Why does trump not wear a mask?	Tyler Fadler	@secupp this Trump fault? 	https://t.co/SSiXfaKWRK	No hashtags	0	0
14	Why does trump not wear a mask?	V🗡	😁🥰 Trump the vax!!! 	https://t.co/zwexj9yTby	No hashtags	2	0
15	Why does trump not wear a mask?	Craig Hammond	Trump is doing all this while munching on a bag of cheetos! 	https://t.co/nL0nkuhXY7	No hashtags	0	0
16	Why does trump not wear a mask?	Jet2	Trump is chicken out. 	https://t.co/RGcMeP72es	No hashtags	0	0
17	Why does trump not wear a mask?	MistyP	tRUMPs MURDER spree 	https://t.co/ryMnM1tyys	No hashtags	0	0
18	Why does trump not wear a mask?	Margery	Trump is a PATHOLOGICAL LIAR  https://t.co/1P5ZDRd3Oe	https://t.co/CIib9nkFgR	No hashtags	0	0
19	Why does trump not wear a mask?	GrandMa Bea.	This should be the headlines Not ugly skank trump. 	https://t.co/QLuDK0GwLs	No hashtags	1	0
20	News from covid	Station 71: A Walt Disney World Podcast	NEW (): After discussing Cast Member layoffs, the hosts think about the future of entertainment in Disney Parks and what they think will and won't return once the COVID pandemic subsides. https://t.co/xelJO5SeQW	https://t.co/lx3X9Vi7mW	No hashtags	1	0
21	News from covid	Gary Holden	New on  | Behavioural Science and a Post-COVID World | https://t.co/SVie2jtpqj	https://t.co/8pxKdRDxAR	No hashtags	0	0
22	News from covid	Patrik Darabont	"1210 new
1376 resolved "	https://t.co/NuZFp6C4xm	No hashtags	0	0
23	News from covid	julia	queen of new zealand 	https://t.co/MDUC1BUWu8	No hashtags	0	0
24	News from covid	Billy Waldo	Our new, gawdawfull reality. 	https://t.co/js9joJ52sI	No hashtags	0	0
25	News from covid	Papa Guedhe - but radical	Where's @iamjohnoliver for a new version of this  https://t.co/a6RWTULf2s	https://t.co/5SVMjd8B0j	No hashtags	1	0
26	News from covid	ShawnG	The new norm in Germany? 	https://t.co/flKYmx52Ax	No hashtags	0	0
27	News from covid	imalicious❄️	New eco friendly Bleach 	https://t.co/GS7h5p9J4x	No hashtags	0	0
28	News from covid	J Flk	the new cycle.. throttle on.. off.. 	https://t.co/pX7Qxd1TNS	No hashtags	0	0
29	News from covid	Gillmor Gang	New post in Gillmor Gang:  https://t.co/hHJVY4sLp7 None of this is good. Trump gave up.	https://t.co/2ob7YmR1vC	No hashtags	0	0
30	News from covid	Justinian	A new challenger arises 	https://t.co/mi7jQUjV5z	No hashtags	8	1
31	News from covid	idk	New and improved. 50% more... 	https://t.co/rgg6cyhQLR	No hashtags	0	0
32	News from covid	aarias	This is our new normal 	https://t.co/knQwTq8ety	No hashtags	1	0
33	News from covid	fascism is bad	new yorkers' knees disgust me 	https://t.co/rSNl8j0QFY	No hashtags	0	0
34	News from covid	waaytv	New Information 	https://t.co/wkfuNz4Grq	No hashtags	2	0
35	News from covid	IdahoPTV	"New @IdahoReports blog post from @davlinnews. #IdahoCOVID19

 https://t.co/SKmWY2epa6"	https://t.co/EgrwjP1Cld	['#IdahoCOVID19']	1	0
36	News from covid	𝒞𝒽𝒶𝓇𝓁𝑜𝓉𝓉𝑒	"@LFC @LCFC @LFC Do you do newborn size tops? You have a new addition in Merseyside!☺️

"	https://t.co/EB7wupEvnl	No hashtags	5	1
37	News from covid	kirk2entrprize	It seems the‘black shirts’ is the new brown! 	https://t.co/Im9XP8MaOl	No hashtags	0	0
38	News from covid	palla Sissi	Brexit the new Nessy 	https://t.co/wIzHFbZIxL	No hashtags	1	0
39	News from covid	Tiffany Alaniz	NEW FROM CDC........ 👇 	https://t.co/jw1gRSGYwR	No hashtags	5	1
40	When will the covid vaccine be available?	Marlene J. Looney🇨🇺🇺🇸🐶	@realDonaldTrump COVID COVID COVID.  COVID		No hashtags	0	0
41	When will the covid vaccine be available?	Maria Tibbles	"@realDonaldTrump COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, 
COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID"		No hashtags	1	0
42	When will the covid vaccine be available?	NastyWoman2020	@realDonaldTrump COVID, COVID, COVID!!!!		No hashtags	1	0
43	When will the covid vaccine be available?	Abe	@BPC_Bipartisan @CBP @rachiacono covid?		No hashtags	0	0
44	When will the covid vaccine be available?	Shane	Covid? @jstitans24 https://t.co/wKg3JS5Lnu		No hashtags	1	0
45	When will the covid vaccine be available?	Marlene J. Looney🇨🇺🇺🇸🐶	@realDonaldTrump @BrianKempGA COVID COVID COVID.  COVID......		No hashtags	0	0
46	When will the covid vaccine be available?	Luan.Lvds 🇦🇹	@Soares_CarolI Covid		No hashtags	0	0
47	When will the covid vaccine be available?	Maria Tibbles	"@realDonaldTrump COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID, 
COVID, COVID, COVID, COVID, COVID, COVID, COVID, COVID"		No hashtags	2	0
48	When will the covid vaccine be available?	Lone Wolf X95	@WithherIma @seanhannity Covid		No hashtags	0	0
49	When will the covid vaccine be available?	Jacquelyn LaRose	@RobAnderson2018 COVID.		No hashtags	1	0
50	When will the covid vaccine be available?	Jordana, My guy won!🐼	@politicususa Covid		No hashtags	1	0
51	When will the covid vaccine be available?	Hamza	@HamadAbuHuraira @Haqeeqat_TV COVID		No hashtags	1	0
